Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5412","Yield","01929.07","Abaca, manila hemp, raw","2023","2023","kg/ha","600.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2023","2023","kg/ha","690.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","1513.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","1205.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01341","Apples","2023","2023","kg/ha","21076.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01343","Apricots","2023","2023","kg/ha","6725.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01379.01","Areca nuts","2023","2023","kg/ha","1740.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01216","Artichokes","2023","2023","kg/ha","14094.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01211","Asparagus","2023","2023","kg/ha","5327.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01311","Avocados","2023","2023","kg/ha","10963.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01708","Bambara beans, dry","2023","2023","kg/ha","596.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01312","Bananas","2023","2023","kg/ha","23316.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0115","Barley","2023","2023","kg/ha","3151.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","755.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","6548.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01702","Broad beans and horse beans, dry","2023","2023","kg/ha","2182.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01243","Broad beans and horse beans, green","2023","2023","kg/ha","6582.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01192","Buckwheat","2023","2023","kg/ha","1007.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01212","Cabbages","2023","2023","kg/ha","31296.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01195","Canary seed","2023","2023","kg/ha","816.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","27043.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01251","Carrots and turnips","2023","2023","kg/ha","36698.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01372","Cashew nuts, in shell","2023","2023","kg/ha","638.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01359.02","Cashewapple","2023","2023","kg/ha","2587.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","10357.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01447","Castor oil seeds","2023","2023","kg/ha","1565.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01213","Cauliflowers and broccoli","2023","2023","kg/ha","18842.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01199.90","Cereals n.e.c.","2023","2023","kg/ha","1914.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01344.02","Cherries","2023","2023","kg/ha","6403.1","A","Official figure",""
