,estimated_yield,matched_crop
"Aaron's rod, mullein, common mullein, great mullein, velvet dock, bullock's lungwort, flannel plant, flannel leaf, candlewick, feltwort, harebread, adam's flannel, velvet plant, shepherd's club, hag's taper, filtet kongelys, verbasco vulgar",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Abbo rubber tree, Abbo, Liberian rubber tree, obada, Dahomey rubber tree, Congo rubber tree, Ire' rubber tree, borracheira africana",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Abuklameira,1007.5,buckwheat
"Abyssinian mustard, Ethiopian mustard, gomenzer, Sukuma wiki (Kiswahili), Figiri (East Africa), Loshuu (Tanzania), Abyssinian cabbage (former USSR), Tamu-Texsel (Texas), Ethiopian rapeseed (Europe, trade mark name)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Acacia Coral, adenantero, Agati, Agati Petite Feuille, Arbreglise, Barbados coralwood, Barbados pride, bead tree, Bois Noir de Bourbon, Bois Noir la Graine, Bois Noir Rouge, Bois Noir, caralillo, caralÃ­n, carolina, chanÂtrÃ¨i, circassian bean, circassian seed, Corail Vegetale, Coral Wood, coral, Coralitos, coralitos peonÃ­a, crab's eyes, Curly Bean, Deleite, Delicia, Dilmawi, Ã©glise, Extranjera, flower-fence, Graine-rÂglisse, Graines Rouges, Jumbi Bead, LÂglise, jumbie bead, kitoke laut, Lagati, lam, legliz, Lera, lopa, ma clam ta cheng, ma clam ton, ma hok daeng, mai-chek, malatinglin, mangelim, olho de pavao, Paina, peacock flower-fence, peronÃ­a, peronÃ­as, Pitipitio, Pomea, Popoa, RÂglisse, raktakambal, Red Bead Tree, Red Sandalwood Tree, Red Sandalwood, reglisse, saga telik, saga tumpul, saga, sandal bead tree, segawe sabrang, suga, temo-carolina, tento carolina, Vaivai Ni Vavalagired, sandalwood tree, zumbic tree",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Afetewa, black plum, muxiloxilo, galbihi, dinya, ucha koro, mfudu, mfuu, oori-nla, Plem (Amargna), Silanri (Ari)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
African Rue,16968.2,green garlic
"African baobab, baobab, dead-rat tree, bottle tree, monkey-bread tree, kremetart, mowana, moana, toeega, Affenbrotbaum, seboi, ximuwu, muvhuyu",1485.3,kenaf and other textile bast fibres raw or retted
"African bitter yam, three-leaved yam, quinim, unquinim",6909.3,other berries and fruits of the genus vaccinium nec
"African blackwood, Senegal ebony, pau-preto de Africa",6582.4,broad beans and horse beans green
African bowstring hemp,10207.0,string beans
African couch grass,44579.4,cucumbers and gherkins
"African ebony, jackal-berry, West African ebony, abu seleba, gugham, jokhan, jughan, mgiriti, mjoho mpweke",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African fleabane, camphor bush, wild camphor bush, Hottentot tobacco, pau quicongo, kamferbos, wilde kamferbos, vaalbos, African wild sage, wild sage, Leleshwa, Mkalambati, kapokbossie, kanferbos, kanferboom, iGqeba-elimhlophe, Mathola, Mofahlana, Mohata, Sefahla, Umgebe",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"African foxtail, blue buffalo grass, foxtail buffalo grass, buffelgrass, buffel grass, buffelsgrass, bloubuffelsgras, koluk katai",1485.3,kenaf and other textile bast fibres raw or retted
"African locust bean, locust bean, nÃ©rÃ©, arbre Ã  farine, fern leaf, monkey cutlass tree, two ball nitta-tree, caroubier Africain",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African mahogany, cailcedra, mogno africano",27043.7,cantaloupes and other melons
"African mahogany, doussie, mogno africano",27043.7,cantaloupes and other melons
"African nut tree, African wood, African wood-oil nut tree, cork wood, muawa, erimado, munguella (Angola), essÃ©ssang (Cameroon), bofeko (Zaire), wama (Ghana), okhuen (Nigeria), kishongo (Uganda)",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"African nutmeg, boxboard, cardboard, false nutmeg, pycnanthus, akwa-mili, oje, lunaba, munaba, calabo, ilomba, akomu",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African pencil cedar, East African cedar, African juniper, Afrikanischer Wacholder, Afrikanische Bleistiftzeder, genÃ©vrier Ã©levÃ©, genÃ©vrier d'Afrique, zimbro africano, tidh, gattira (Galinya), Mutarakwa",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African plum, bush butter tree, African palm, African pear, native pear, bush butter, bafole, bulungu, safoutier, mubafo, safu, safu de obo', atangatier",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African rice, riz africain, riz de Casamance, arroz africano, arroz da Guine', arroz de Guinea",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"African stylo, shrubby pencil-flower, wild lucerne, estilosantes arbustivo",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"African tulip tree, Tulpenbaum",14128.5,oil palm fruit
African walnut,1740.7,areca nuts
"African yam bean, tuber bean, Afrikanische yambohne, girigiri",6582.4,broad beans and horse beans green
"Afrikaans rostvy, African rock fig, kawuri",2182.7,broad beans and horse beans dry
Agahini,3155.1,mixed grain
"Ailanthus, tree of heaven, false varnish tree, copal tree, stink tree, ailanto, Ailanthusbaum, GÃ¶tterbaum, arvore celeste",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Aleppo pine, Jerusalem pine, Aleppoden, pino d'Aleppo, pin blanc, pin d'Alep, pinheiro do Alepo, pinheiro de Jerusalem, pinheiro casquinha, pinheiro Frances, pino carrasco",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Alexandria laurel, Indian laurel, nabangura, tamanu, dilo, te itai, fetau, Kamani, Beauty leaf",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Algarobilla,80.1,vanilla raw
Algarroba Negro,690.6,agave fibres raw nec
"Algerian oat, red oat, Mediterranean oat, avena amarilla",1485.3,kenaf and other textile bast fibres raw or retted
Alkanet,558.3,kola nuts
Alpine ash,1719.2,lupins
Alpine cat's tail,36698.1,carrots and turnips
Alpine forget me not,16968.2,green garlic
Alpine meadowgrass,3155.1,mixed grain
Alyce clover,1942.8,sunflower seed
"American beech, ridge beech, red beeche, faia americana",6582.4,broad beans and horse beans green
"American chestnut, prickly bur, chataignier de l'Amerique, castanheiro da America",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
American ginseng,16968.2,green garlic
"American joint vetch, bastard sensitive plant",6379.6,plantains and cooking bananas
Amor seco,794.7,safflower seed
Anabase,23316.9,bananas
"Andean lupin, South American lupin, sweet Bolivian lupine, pearl lupin, altramuz, chocho, lupino, raewi (Peru, Bolivia), tauri (Bolivia), chocho (Ecuador, Peru), chochito (Ecuador, Peru), cequela (Peru), chuchus (Bolivia), tarwi, tauri",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Andean uvilla,80.1,vanilla raw
"Annunciation lily, Madonna lily, Mary lily, Bourbon lily, white lily, acucena, bastao de S. Jose', copo-de-leite",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Arizona cypress, cypres de l'Arizona, cedro do Arizona",2184.4,other stimulant spice and aromatic crops nec
"Aromo, Espinillo",1513.3,almonds in shell
Arrowroot,6725.2,apricots
Artillery plant,31617.7,eggplants aubergines
"Asian poke weed, edible pokeweed, Indian poke, phytolacca, poke root, endod, shang lu, thuwowng lujc, kermesbeere, kermesbÃ¤r",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Asiatic pennywort, Indian pennywort, marsh pennywort, tiger herbal, waternavel, gotu cola, water pennywort, hydrocotyle asiatique, centela, pegaga, trachiek kranh, duan Kaki Kuda, pegagan, antanan Gede, phak Nok, brahma-manduki, brahmi, min-kuabin, ghod Tapre, takip-kohol, tapingan-daga, hang-halo, icukudwane, totodro, tono, lapukapu, to'etupou, tona, tohetupou, bua bok, pa-na-e khaa-doh, phak wan, rau ma, lien tien thao, phae chen, tish tuyest tharo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Atlas lupine,1719.2,lupins
Aucher's grass,6403.1,cherries
"Australian beech, poplar box, red box gum, eucalipto faia",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Australian blackwood, blackwood, swarthout",2182.7,broad beans and horse beans dry
"Australian mountain ash, Australian oak",6379.6,plantains and cooking bananas
Australian tallow wood,18842.2,cauliflowers and broccoli
"Ayacahuite pine, Mexican white pine, pinheiro de Aiacauite",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Aztec pine, candlewood pine, pinheiro Azteca",27043.7,cantaloupes and other melons
Bakin gumbi,3155.1,mixed grain
"Balsam Fir, Gilead Fir, Fir Balsam, Fir Pine, Sapin, Silver Fir, Silver Pine, Balm of Gilead Tree, Canada Balsam",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Barbados flowerfence, horsebean, Jerusalem-thorn, Mexican paloverde, sessaban",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Bendee,755.1,beans dry
Biswal,860.6,sisal raw
